མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན། 
,178,2,1,《པེ་》《སྣར་》,ཆོལ།
,,3,2,《པེ་》《སྣར་》,པའི།
,,4,3,《པེ་》《སྣར་》,དྲངས་པ།
,,5,4,《པེ་》《སྣར་》,ཀྱི།
,179,6,1,《པེ་》《སྣར་》,ག
,,7,2,《པེ་》《སྣར་》,mཧཱུཾ།
,,8,3,《པེ་》《སྣར་》,བཅད།
,,9,4,《པེ་》《སྣར་》,པར།
,,10,5,《པེ་》《སྣར་》,ལས།
,,11,6,《པེ་》《སྣར་》,mའཁོར་བ།
,,12,7,《པེ་》《སྣར་》,pཔ་ཡི།
,,13,8,《པེ་》《སྣར་》,བརྟེན།
,,14,9,《པེ་》《སྣར་》,ཀྱི་སྐལ་བའི།
,,15,10,《པེ་》《སྣར་》,mཿ།
,,16,11,《པེ་》《སྣར་》,དྲངས་པ།
,180,17,1,《པེ་》《སྣར་》,ཨཏྨ།
,,18,2,《པེ་》《སྣར་》,mདག་པའི།
,181,19,1,《པེ་》《སྣར་》,བསྲེག
,,20,2,《པེ་》《སྣར་》,སྦྱོངས།